2024-03-29T13:18:20.718 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:21.721 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:22.723 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:23.727 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:24.730 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:25.742 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:26.744 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:27.747 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:28.750 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:29.754 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:30.760 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:31.764 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:32.766 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:33.771 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:34.775 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:35.778 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:36.785 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:37.788 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:38.791 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:39.794 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:40.796 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:41.798 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:42.800 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:43.805 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:44.809 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:45.813 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:46.818 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:47.820 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:48.824 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:49.826 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:50.828 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:51.830 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:52.840 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:53.851 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:54.872 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:55.876 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:56.879 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:57.881 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:58.885 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:18:59.904 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:00.998 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:02.001 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:03.024 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:04.027 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:05.034 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:06.035 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:07.038 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:08.042 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:09.045 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:10.046 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:11.048 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:12.079 | INFO | [ejemplo_4_monitoreo.py] | [76] | Mqtt Local conectado
2024-03-29T13:19:13.082 | INFO | [ejemplo_5_keepalive.py] | [76] | Mqtt Local conectado
