2024-03-29T12:30:57.761 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.07323280837872659
2024-03-29T12:30:57.914 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.07977732542591376
2024-03-29T12:30:58.417 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.060390151551244386
2024-03-29T12:30:59.548 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.18906872358354576
2024-03-29T12:30:59.613 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.014296141819945873
2024-03-29T12:31:00.577 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.11857448512875379
2024-03-29T12:31:00.643 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.3443138799979195
2024-03-29T12:31:01.597 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.03920728514243699
2024-03-29T12:31:01.665 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.3656283622804164
2024-03-29T12:31:02.420 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.17866953067300706
2024-03-29T12:31:02.484 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.017331613019903713
2024-03-29T12:31:02.933 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.09242134161298132
2024-03-29T12:31:03.441 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.09242134161298132
2024-03-29T12:31:04.010 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.24908381358102538
2024-03-29T12:31:04.447 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.1103147625941947
2024-03-29T12:31:05.621 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.03321956835314133
2024-03-29T12:31:05.686 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.13478736561583382
2024-03-29T12:31:05.968 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 2.530199452529664
2024-03-29T12:31:05.968 | DEBUG | [ejemplo_4_monitoreo.py] | [36] | THRESHOLD_INICIO superado 2.530199452529664
2024-03-29T12:31:06.461 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 1.224453370192661
2024-03-29T12:31:06.951 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.12270124512473579
2024-03-29T12:31:06.952 | DEBUG | [ejemplo_4_monitoreo.py] | [43] | RESET ESTADO_INICIO 0.12270124512473579
2024-03-29T12:31:07.631 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 1.4578861248459951
2024-03-29T12:31:07.632 | DEBUG | [ejemplo_4_monitoreo.py] | [36] | THRESHOLD_INICIO superado 1.4578861248459951
2024-03-29T12:31:07.941 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.6120122935002339
2024-03-29T12:31:07.941 | DEBUG | [ejemplo_4_monitoreo.py] | [43] | RESET ESTADO_INICIO 0.6120122935002339
2024-03-29T12:31:08.445 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.3031584197692343
2024-03-29T12:31:09.268 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.7351791631656646
2024-03-29T12:31:09.776 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.229456615390486
2024-03-29T12:31:09.948 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.7308214263914738
2024-03-29T12:31:10.600 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.2493780902103584
2024-03-29T12:31:11.462 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 2.848741121206894
2024-03-29T12:31:11.463 | DEBUG | [ejemplo_4_monitoreo.py] | [36] | THRESHOLD_INICIO superado 2.848741121206894
2024-03-29T12:31:11.499 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0194069709449618
2024-03-29T12:31:11.500 | DEBUG | [ejemplo_4_monitoreo.py] | [43] | RESET ESTADO_INICIO 0.0194069709449618
2024-03-29T12:31:12.651 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0194069709449618
2024-03-29T12:31:12.720 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0194069709449618
2024-03-29T12:31:13.684 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0194069709449618
2024-03-29T12:31:13.747 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0194069709449618
2024-03-29T12:31:13.986 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0194069709449618
2024-03-29T12:31:14.492 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0194069709449618
2024-03-29T12:31:15.625 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0194069709449618
2024-03-29T12:31:15.690 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0194069709449618
2024-03-29T12:31:16.658 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0194069709449618
2024-03-29T12:31:16.722 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0194069709449618
2024-03-29T12:31:16.998 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0194069709449618
2024-03-29T12:31:17.885 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0194069709449618
2024-03-29T12:31:18.005 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0194069709449618
2024-03-29T12:31:18.520 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0194069709449618
2024-03-29T12:31:19.220 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0194069709449618
2024-03-29T12:31:19.760 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0194069709449618
2024-03-29T12:31:20.646 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0194069709449618
2024-03-29T12:31:20.713 | DEBUG | [ejemplo_4_monitoreo.py] | [25] | Accel 0.0194069709449618
