2024-04-02T21:22:56.775 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:22:56.777 | INFO | [ejercicio_1.py] | [29] | Accel 0.0, estado_sistema 0
2024-04-02T21:22:57.278 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:22:57.295 | INFO | [ejercicio_1.py] | [29] | Accel 0.0, estado_sistema 0
2024-04-02T21:22:57.830 | INFO | [ejercicio_1.py] | [29] | Accel 0.0, estado_sistema 0
2024-04-02T21:22:57.833 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:22:58.304 | INFO | [ejercicio_1.py] | [29] | Accel 0.0, estado_sistema 0
2024-04-02T21:22:58.384 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:22:58.802 | INFO | [ejercicio_1.py] | [29] | Accel 0.0, estado_sistema 0
2024-04-02T21:22:58.882 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:22:59.309 | INFO | [ejercicio_1.py] | [29] | Accel 0.0, estado_sistema 0
2024-04-02T21:22:59.387 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:22:59.811 | INFO | [ejercicio_1.py] | [29] | Accel 0.0, estado_sistema 0
2024-04-02T21:22:59.887 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:23:00.317 | INFO | [ejercicio_1.py] | [29] | Accel 0.0, estado_sistema 0
2024-04-02T21:23:00.388 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:23:00.890 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:23:00.913 | INFO | [ejercicio_1.py] | [29] | Accel 0.0, estado_sistema 0
2024-04-02T21:23:01.315 | INFO | [ejercicio_1.py] | [29] | Accel 79.55311969931438, estado_sistema 0
2024-04-02T21:23:01.396 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 1
2024-04-02T21:23:01.803 | INFO | [ejercicio_1.py] | [29] | Accel 69.5410990596929, estado_sistema 0
2024-04-02T21:23:01.892 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 1
2024-04-02T21:23:02.318 | INFO | [ejercicio_1.py] | [29] | Accel 17.571152697685207, estado_sistema 0
2024-04-02T21:23:02.396 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:23:02.832 | INFO | [ejercicio_1.py] | [29] | Accel 31.686744871103112, estado_sistema 0
2024-04-02T21:23:02.893 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:23:03.346 | INFO | [ejercicio_1.py] | [29] | Accel 32.84188082155852, estado_sistema 0
2024-04-02T21:23:03.395 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:23:03.832 | INFO | [ejercicio_1.py] | [29] | Accel 52.985826426033455, estado_sistema 0
2024-04-02T21:23:03.896 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:23:04.335 | INFO | [ejercicio_1.py] | [29] | Accel 8.646137807140008, estado_sistema 0
2024-04-02T21:23:04.399 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:23:04.861 | INFO | [ejercicio_1.py] | [29] | Accel 0.3375539456024601, estado_sistema 0
2024-04-02T21:23:04.900 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:23:05.324 | INFO | [ejercicio_1.py] | [29] | Accel 1.6642763075433802, estado_sistema 0
2024-04-02T21:23:05.402 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:23:05.827 | INFO | [ejercicio_1.py] | [29] | Accel 0.4493902257646525, estado_sistema 0
2024-04-02T21:23:05.904 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:23:06.325 | INFO | [ejercicio_1.py] | [29] | Accel 0.3607203664686356, estado_sistema 0
2024-04-02T21:23:06.402 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:23:06.823 | INFO | [ejercicio_1.py] | [29] | Accel 0.13428407083268468, estado_sistema 0
2024-04-02T21:23:06.901 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:23:07.340 | INFO | [ejercicio_1.py] | [29] | Accel 0.05012820597111656, estado_sistema 0
2024-04-02T21:23:07.411 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:23:07.831 | INFO | [ejercicio_1.py] | [29] | Accel 0.018859404228170007, estado_sistema 0
2024-04-02T21:23:07.912 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:23:08.325 | INFO | [ejercicio_1.py] | [29] | Accel 0.019368615140180623, estado_sistema 0
2024-04-02T21:23:08.407 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:23:08.849 | INFO | [ejercicio_1.py] | [29] | Accel 0.007656051792297447, estado_sistema 0
2024-04-02T21:23:08.906 | INFO | [ejercicio_1.py] | [29] | Accel 18.2, estado_sistema 0
2024-04-02T21:23:09.354 | INFO | [ejercicio_1.py] | [29] | Accel 0.05012820597111656, estado_sistema 0
